name	x	y	z	size	group	type
D22	77.379346	36.861461	18.224583	n/a		n/a
D23	77.603322	35.997687	4.024808	n/a		n/a
D24	65.344927	52.131448	19.673133	n/a		n/a
D25	67.085560	49.405885	33.042045	n/a		n/a
D26	65.393550	43.847643	46.424222	n/a		n/a
D27	62.179577	38.220112	59.489915	n/a		n/a
D28	47.684685	37.191283	73.409392	n/a		n/a
D29	48.134080	49.163311	62.128459	n/a		n/a
D30	49.546123	55.769655	50.525439	n/a		n/a
D31	47.979965	63.337509	37.117947	n/a		n/a
D32	45.821735	67.716227	25.485844	n/a		n/a
E1	6.964147	0.639160	101.823568	n/a		n/a
E2	23.889969	-8.058552	101.299601	n/a		n/a
E3	33.284419	2.788837	96.502138	n/a		n/a
E4	43.103633	13.472412	88.909101	n/a		n/a
E5	45.183610	24.657872	82.762204	n/a		n/a
E6	28.554790	34.659028	84.298119	n/a		n/a
E7	32.832098	44.518815	75.734424	n/a		n/a
E8	29.694912	54.841503	65.394503	n/a		n/a
E9	31.679470	62.299662	54.257974	n/a		n/a
E10	30.312076	68.103817	43.775473	n/a		n/a
E11	29.882158	73.049408	32.453865	n/a		n/a
E12	7.773913	76.211592	35.074517	n/a		n/a
E13	8.127794	71.435973	46.932020	n/a		n/a
E14	10.910603	65.245405	58.577164	n/a		n/a
E15	11.109219	57.262255	69.150687	n/a		n/a
E16	10.536747	46.905715	79.023186	n/a		n/a
E17	10.850170	36.118912	86.410264	n/a		n/a
E18	8.831916	22.483079	93.508122	n/a		n/a
E19	27.266161	20.360158	92.516691	n/a		n/a
E20	17.983072	9.914051	98.345576	n/a		n/a
E21	-2.055807	11.510151	100.075128	n/a		n/a
E22	-10.361924	21.911395	94.756196	n/a		n/a
E23	-9.651211	35.533878	87.189830	n/a		n/a
E24	-13.385374	46.506286	78.343025	n/a		n/a
E25	-9.289745	56.957470	69.191292	n/a		n/a
E26	-9.637232	64.282426	59.543677	n/a		n/a
E27	-11.368305	70.775122	47.143758	n/a		n/a
E28	-12.672599	74.315990	37.390008	n/a		n/a
E29	-32.717318	70.781530	35.072905	n/a		n/a
E30	-31.608592	66.668857	45.962792	n/a		n/a
E31	-31.923753	60.215841	58.110953	n/a		n/a
E32	-30.113811	53.557081	68.997763	n/a		n/a
