97.8047	-0.3709	0.4900
3.8963	81.7113	-1.5902
-2.3331	-82.3515	-0.1873
97.9790	0.3709	-0.4900
1.3400	83.0783	1.5902
-2.9032	-82.4382	0.1873
74.8530	-67.2313	-18.4030
77.4773	-65.2099	-18.2681
79.5760	-59.9456	-24.2143
83.3291	-50.4780	-28.7722
84.0369	-43.7972	-26.9180
85.5116	-36.5186	-28.6206
88.1469	-31.0712	-26.5776
93.3160	-24.4145	-27.4687
97.2698	-17.5092	-23.0029
103.0753	-12.5558	-18.7805
105.2620	-7.4778	-11.6236
104.5470	-4.3352	-6.1296
104.0329	-0.0288	-2.8022
105.2712	6.3994	-7.2936
101.3495	12.1983	-18.0417
93.8379	18.6139	-20.2308
89.4737	26.8546	-20.9233
88.0535	35.0762	-20.2968
86.4880	44.4815	-18.4057
82.3286	53.1316	-14.4026
79.1063	59.3665	-10.2918
75.5216	63.8977	-4.8973
74.3471	64.5642	-3.0215
72.0282	68.1135	-0.1519
65.1898	81.3703	-4.3959
64.1886	79.3451	-1.6435
68.6399	76.4449	-8.8491
73.3116	70.9710	-15.0151
79.3388	64.7925	-21.7912
82.7040	57.2068	-25.4664
89.7668	47.1780	-31.0009
90.3622	40.6945	-30.7383
91.7967	32.9024	-32.3995
90.6984	30.3256	-33.2784
56.0920	72.3122	-26.7366
58.0762	70.3355	-29.1330
62.9618	66.5941	-32.2096
65.7840	61.7330	-34.7984
67.2520	58.9984	-37.1857
71.5350	54.2356	-38.7817
74.2840	48.3238	-41.2158
76.0189	43.6871	-42.3896
80.2452	36.1810	-42.7139
83.0140	29.9890	-43.2156
83.7158	27.9512	-43.3350
44.8725	72.7626	-36.8640
47.4864	70.2944	-38.9619
55.1468	64.9794	-44.1451
61.6281	58.6142	-48.7778
65.0575	54.4215	-50.9013
71.3044	48.9465	-54.5600
76.2759	43.6091	-55.0652
79.8250	39.2520	-55.4451
82.0815	35.1247	-56.7431
35.3757	73.5663	-41.6960
37.3263	72.1596	-44.9110
47.4030	66.6229	-51.9912
58.2686	56.4802	-59.6505
64.6786	48.3057	-65.4143
68.1076	42.1482	-67.1254
71.9736	38.5150	-69.8304
74.1851	36.7815	-71.9126
31.2874	73.5535	-47.4447
31.9462	71.9178	-50.9952
35.4167	68.1780	-58.9973
39.2407	60.2375	-69.3795
44.7137	53.3615	-76.8770
48.4664	48.6046	-80.3116
56.9633	41.6975	-88.4364
59.3387	34.8290	-92.1352
62.1119	33.7649	-95.4949
73.3046	-71.0869	-25.1484
70.8889	-70.3836	-19.7415
72.5448	-64.7026	-23.1305
75.7938	-63.1000	-30.3478
78.1979	-56.4668	-32.4946
81.3269	-51.8226	-35.4491
84.2064	-47.0805	-38.1851
86.1456	-40.0891	-40.6218
86.1096	-32.8804	-45.0143
86.3798	-30.6623	-47.1042
64.8775	-69.9669	-30.6786
67.5118	-64.1154	-37.7465
72.3422	-59.9928	-41.9249
77.2533	-52.1823	-45.8461
78.9878	-46.6093	-51.6758
78.8340	-38.1589	-52.3178
81.1070	-31.9355	-52.7543
59.1485	-67.5418	-44.4679
60.9466	-62.2040	-51.9095
63.3126	-57.0635	-54.8815
66.4414	-51.8598	-60.1344
72.0313	-47.4578	-65.0138
73.1792	-41.5009	-70.6810
76.6669	-36.8126	-71.8175
49.0852	-68.6055	-52.1057
50.1621	-66.3152	-57.8842
53.0260	-61.3057	-63.9330
55.7724	-55.9031	-71.7423
60.0057	-45.8794	-83.7355
64.3356	-35.5206	-93.6866
66.1416	-28.8180	-99.6300
77.3776	-10.8840	-103.3888
75.5486	-4.0668	-103.3255
75.0017	2.4601	-102.4727
72.7188	13.6110	-105.0273
71.7110	16.2400	-104.5578
83.7829	-6.2826	-94.8726
80.3249	-0.4447	-92.6943
79.8581	9.1497	-93.7138
107.1769	1.7211	-8.6977
107.3997	1.3527	-10.6800
110.3958	-0.2360	-20.3462
111.9074	1.0463	-27.3499
112.4665	2.5539	-32.9691
113.1282	0.9799	-36.7079
